Cattle,2,1,5,3,725,1,5
Cattle,1,2,3,4,5,9,3
Cattle,19,24,23,20,26,16,15
Cattle,2,1,1,3,2,1,5
Cattle,1,4,2,2,6,3,17
Cattle,9,2,4,62,4,5,6
Cattle,1,1,59,2,10,5,7
Cattle,1,462,2,2,6,3,17
Cattle,2,1,5,3,2,1,5
Cattle,1,3,6,4,3,3,3
Cattle,2,4,2,2,6,1,5
Cattle,2,1,12,88,2,1,5
Cattle,2,1,1,3,2,1,5
Cattle,1,4,2,2,6,3,17
Cattle,10,1,59,19,10,5,7
Cattle,33,39,30,82,104,56,17
Cattle,19,24,23,20,26,16,15
Cattle,2,1,1,3,2,1,5
Cattle,1,2,3,4,5,9,3
Cattle,1,1,59,2,10,5,7
Cattle,1,4,2,2,6,3,17
Cattle,9,2,4,62,4,5,6
Cattle,2,4,1,2,7,1,5
Cattle,1,4,2,2,6,3,17
Cattle,33,39,30,82,104,56,17
Cattle,1,2,3,4,5,9,3
Cattle,10,23,16,19,6,18,7
Cattle,33,39,30,82,104,56,17
Cattle,2,1,5,3,2,1,5
Cattle,33,39,30,82,104,56,17
Cattle,9,2,4,62,4,5,6
Cattle,19,24,23,20,26,16,15
Cattle,2,4,1,2,7,1,5
Cattle,9,25,2,10,22,3,6
Cattle,33,39,30,82,104,56,17
Cattle,9,2,4,62,4,5,6
Cattle,33,39,30,82,104,56,17
Cattle,1,4,2,2,6,3,17
Cattle,1,2,3,4,5,9,3
Cattle,2,1,1,3,2,1,5
Cattle,2,4,2,2,6,1,5
Cattle,33,39,30,82,104,56,17
Cattle,33,39,30,82,104,56,17
Cattle,1,4,2,2,6,3,17
Cattle,2,21,5,37,2,1,5
Cattle,33,39,30,82,104,56,17
Cattle,1,2,3,4,5,9,3
Cattle,2,4,1,2,7,1,5
Cattle,1,2,3,4,5,9,3
Cattle,1,4,2,2,6,3,17
Cattle,9,2,4,62,4,5,6
Cattle,4,7,10,4,42,7,1
Cattle,1,4,2,2,6,3,17
Cattle,2,1,5,3,2,1,5
Cattle,1,4,2,2,6,3,17
Cattle,1,2,3,4,5,9,3
Cattle,2,1,5,3,2,1,5
Cattle,1,2,3,4,5,9,3
Cattle,2,21,5,37,2,1,5
Cattle,1,4,2,2,6,3,17
Cattle,9,2,4,62,4,5,6
Cattle,1,1,59,2,10,5,7
Cattle,2,1,5,3,2,1,5
Cattle,1,2,3,4,5,9,3
Cattle,10,1,59,19,10,5,7
Cattle,2,1,5,3,2,1,5
Cattle,1,2,3,4,5,9,3
Cattle,10,23,16,19,6,18,332
Cattle,1,4,2,2,6,3,17
Cattle,1,2,3,4,5,9,3
Cattle,10,1,59,19,10,5,7
Cattle,1,3,6,4,3,3,3
Cattle,2,1,1,3,2,1,5
Cattle,1,2,3,4,5,9,3
Cattle,33,39,30,82,104,56,17
Cattle,2,1,5,3,2,1,5
Cattle,33,39,30,82,104,56,17
Cattle,2,1,5,3,2,1,5
Cattle,7,21,5,62,4,61,44
Cattle,2,1,12,3,2,1,5
Cattle,33,39,30,82,104,56,17
Cattle,33,39,30,82,104,56,17
Cattle,1,4,2,2,6,3,17
Cattle,2,1,5,3,2,1,5
Cattle,10,23,16,19,6,18,7
Cattle,2,1,5,10,2,1,5
Cattle,2,4,2,2,6,1,5
Cattle,2,1,1,3,2,1,5
Cattle,19,24,23,20,26,16,15
Cattle,19,24,42,246,300,259,57
Cattle,1,3,6,4,3,3,3
Cattle,33,39,30,82,104,56,17
Cattle,1,4,2,2,6,3,17
Cattle,1,1,59,2,10,5,7
Cattle,2,1,5,3,2,54,5
Cattle,2,4,2,2,6,1,5
Cattle,2,1,5,3,725,1,5
Cattle,2,1,5,3,2,1,5
Cattle,2,1,5,3,2,1,5
Cattle,1,2,3,4,5,9,3
Cattle,1,2,3,4,5,9,3
Cattle,10,1,59,19,10,5,7
Cattle,1,1,59,2,10,5,7
Cattle,1,2,3,4,5,9,3
Cattle,2,21,5,37,2,1,5
Cattle,19,24,23,20,26,16,15
Cattle,7,21,5,62,4,61,44
Cattle,33,39,30,82,104,56,17
Cattle,2,1,1,3,2,1,5
Cattle,2,1,1,3,2,1,5
Cattle,1,4,250,2,6,3,17
Cattle,1,3,6,4,3,3,3
Cattle,19,24,23,20,26,16,15
Cattle,1,2,3,4,5,9,3
Cattle,1,2,3,4,5,9,3
Cattle,1,2,3,4,5,9,3
Cattle,33,39,30,82,104,56,17
Cattle,2,4,2,2,6,1,5
Cattle,2,21,5,37,2,1,5
Cattle,33,39,30,82,104,56,17
Cattle,10,1,59,19,10,5,7
Cattle,1,4,2,2,6,3,17
Cattle,1,2,3,4,5,9,3
Cattle,1,4,2,2,710,259,17
Cattle,2,1,1,3,2,1,5
Cattle,2,1,5,3,2,1,5
Cattle,2,21,5,2,60,1,5
Cattle,2,1,5,3,2,1,5
Cattle,2,1,5,3,2,1,5
Cattle,1,4,2,2,6,3,17
Cattle,2,4,1,2,7,1,5
Cattle,19,24,23,20,26,16,15
Cattle,1,4,2,2,6,3,17
Cattle,1,4,2,2,6,3,17
Cattle,10,23,16,19,6,18,7
Cattle,2,1,5,3,2,1,5
Cattle,2,1,1,3,2,1,5
Cattle,9,2,4,62,4,5,6
Cattle,1,4,2,2,6,3,17
Cattle,2,1,5,3,2,1,5
Cattle,2,1,5,3,2,1,5
Cattle,33,39,30,82,104,56,17
Cattle,1,2,3,4,5,9,3
Cattle,2,21,5,2,60,1,5
Cattle,2,1,5,3,2,1,5
Cattle,1,2,3,4,5,9,3
Cattle,2,1,5,3,2,1,5
Cattle,33,39,30,82,113,47,17
Cattle,33,39,30,82,104,56,17
Cattle,19,24,23,20,26,16,15
Sheep,1,4,2,2,6,1,17
Sheep,2,1,5,3,2,1,5
Sheep,2,1,12,88,2,1,5
Sheep,10,27,43,19,6,18,7
Sheep,2,1,5,3,2,1,5
Sheep,33,39,30,82,104,47,36
Sheep,2,1,1,3,2,1,5
Sheep,2,1,1,3,2,1,3
Sheep,1,2,3,4,5,9,3
Sheep,33,39,30,82,113,47,17
Sheep,33,39,30,82,113,47,17
Sheep,1,4,2,2,6,3,17
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,104,47,36
Sheep,33,39,30,82,113,47,17
Sheep,1,2,3,4,5,9,3
Sheep,2,1,1,3,2,1,5
Sheep,33,39,30,82,113,47,17
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,113,47,17
Sheep,33,39,30,82,104,56,17
Sheep,1,4,2,2,6,3,17
Sheep,2,1,1,3,2,1,5
Sheep,2,1,1,3,2,1,3
Sheep,2,1,1,3,2,1,5
Sheep,2,1,1,3,2,1,5
Sheep,9,2,4,62,4,5,6
Sheep,33,39,30,82,104,56,17
Sheep,1,2,3,4,5,9,3
Sheep,2,1,5,3,2,1,5
Sheep,33,39,30,82,104,47,17
Sheep,2,1,1,3,2,1,3
Sheep,53,38,30,81,118,71,36
Sheep,2,1,5,3,2,1,5
Sheep,33,39,30,82,113,47,17
Sheep,2,1,5,3,2,1,5
Sheep,7,21,5,62,4,61,44
Sheep,2,1,5,3,2,1,5
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,104,56,17
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,104,47,36
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,104,56,17
Sheep,1,4,2,2,6,3,17
Sheep,2,4,1,2,7,1,5
Sheep,2,1,1,3,2,1,3
Sheep,53,38,30,81,118,71,36
Sheep,1,3,6,4,3,3,3
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,113,47,17
Sheep,2,1,1,3,2,1,5
Sheep,2,4,1,2,7,1,5
Sheep,2,1,12,3,2,1,5
Sheep,1,4,2,2,6,1,17
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,113,44,17
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,113,47,17
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,113,47,17
Sheep,2,1,5,3,2,1,5
Sheep,2,1,21,3,2,1,5
Sheep,33,39,30,82,113,47,17
Sheep,2,1,5,3,2,1,5
Sheep,2,4,1,2,7,1,5
Sheep,33,39,30,82,104,56,17
Sheep,2,1,5,3,2,1,5
Sheep,2,1,1,3,2,1,3
Sheep,33,39,30,82,104,47,36
Sheep,1,4,2,2,6,3,17
Sheep,1,2,3,4,5,9,3
Sheep,2,1,5,3,2,1,5
Sheep,2,21,5,2,60,1,5
Sheep,33,39,30,82,113,44,17
Sheep,2,1,5,3,2,1,5
Sheep,1,4,2,2,6,1,17
Sheep,2,1,1,3,2,1,3
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,113,47,17
Sheep,2,1,1,3,2,1,5
Sheep,33,39,30,82,104,56,17
Sheep,2,1,5,3,2,1,5
Sheep,33,39,30,82,104,56,17
Sheep,2,1,1,3,2,1,3
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,104,56,17
Sheep,2,21,5,2,60,1,5
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,104,56,17
Sheep,1,2,3,4,5,9,3
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,104,56,17
Sheep,2,1,1,3,2,1,5
Sheep,1,1,2,2,6,3,17
Sheep,19,24,23,20,26,16,15
Sheep,2,1,1,3,2,1,5
Sheep,2,21,5,37,60,1,5
Sheep,2,1,1,560,2,1,5
Sheep,2,21,5,37,2,1,5
Sheep,2,4,1,2,7,1,5
Sheep,2,1,5,3,2,1,5
Sheep,2,1,1,3,2,1,5
Sheep,2,1,1,3,2,1,3
Sheep,53,38,30,81,118,71,36
Sheep,2,21,5,2,60,1,5
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,104,56,17
Sheep,1,4,2,2,6,3,17
Sheep,1,4,2,2,6,3,17
Sheep,2,1,1,3,2,1,3
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,711,56,17
Sheep,1,4,2,2,6,3,17
Sheep,2,1,1,3,2,1,3
Sheep,2,1,1,3,2,1,5
Sheep,33,39,30,82,104,56,17
Sheep,2,1,5,3,2,1,5
Sheep,1,4,2,2,6,3,17
Sheep,1,4,2,2,6,3,17
Sheep,2,1,21,3,2,1,5
Sheep,2,1,12,88,2,1,5
Sheep,1,4,2,2,6,3,17
Sheep,2,21,5,37,2,1,5
Sheep,2,1,21,3,2,1,5
Sheep,4,7,10,4,1,7,1
Sheep,1,4,2,2,6,3,17
Sheep,33,39,30,82,104,56,17
Sheep,2,1,5,3,2,1,5
Sheep,33,39,30,82,104,47,36
Sheep,33,39,30,82,104,56,17
Sheep,1,4,2,2,6,3,17
Sheep,1,4,2,2,6,3,17
Sheep,2,21,5,37,60,1,5
Sheep,2,1,1,3,2,1,5
Sheep,1,4,2,2,6,3,17
Sheep,1,4,2,2,6,3,17
Sheep,2,1,12,88,2,1,5
Sheep,33,39,30,82,104,56,17
Sheep,33,39,30,82,104,56,17
Sheep,2,1,21,3,2,1,5
Sheep,2,21,5,37,2,1,5
Sheep,2,21,5,37,2,1,5
Sheep,1,4,2,2,6,3,17
Sheep,2,1,1,3,2,1,5
Sheep,2,21,5,37,2,1,5
Sheep,2,1,1,560,2,1,5
Chicken,9,2,4,62,4,5,12
Chicken,2,1,12,3,2,1,5
Chicken,7,17,2,3,23,3,12
Chicken,2,1,12,3,2,1,5
Chicken,7,17,2,15,23,3,12
Chicken,9,2,4,62,4,5,6
Chicken,2,4,2,4,19,3,6
Chicken,4,7,10,4,1,7,1
Chicken,9,2,4,62,4,5,6
Chicken,2,1,5,3,2,1,5
Chicken,4,7,10,4,1,7,1
Chicken,9,2,4,62,4,5,12
Chicken,33,38,30,82,118,43,17
Chicken,7,17,2,15,23,3,12
Chicken,9,2,4,62,4,5,12
Chicken,2,1,12,3,2,1,5
Chicken,33,38,30,173,104,35,68
Chicken,24,2,2,2,10,3,3
Chicken,1,2,42,4,3,40,3
Chicken,2,4,1,2,7,1,5
Chicken,2,4,1,2,7,1,5
Chicken,33,38,30,82,104,43,388
Chicken,104,7,10,4,1,7,1
Chicken,2,1,12,3,2,1,5
Chicken,2,4,1,2,7,1,5
Chicken,2,4,1,2,7,1,5
Chicken,2,1,12,3,2,1,5
Chicken,7,17,2,15,23,3,12
Chicken,2,1,12,3,2,1,5
Chicken,9,2,4,62,4,5,6
Chicken,2,1,1,3,2,1,5
Chicken,9,25,2,10,22,3,6
Chicken,7,53,2,10,11,3,3
Chicken,9,2,4,62,4,5,6
Chicken,14,17,5,2,11,3,6
Chicken,9,17,52,10,10,3,1
Chicken,2,4,1,2,7,1,5
Chicken,2,1,21,3,2,1,5
Chicken,4,7,40,4,42,51,1
Chicken,33,39,30,82,113,47,17
Chicken,9,17,5,10,350,3,3
Chicken,2,4,1,2,7,1,5
Chicken,2,1,12,3,2,1,5
Chicken,2,1,12,3,2,1,5
Chicken,24,2,2,2,10,3,3
Chicken,2,4,1,2,7,1,5
Chicken,9,2,4,62,4,133,6
Chicken,2,4,1,2,7,1,5
Chicken,2,1,12,3,2,1,5
Chicken,4,7,10,4,42,25,1
Chicken,24,2,2,2,10,3,3
Chicken,2,4,1,2,7,1,5
Chicken,24,2,2,2,10,3,3
Chicken,2,10,2,4,19,3,6
Chicken,9,2,4,62,4,5,6
Chicken,2,1,21,3,2,1,5
Chicken,4,7,10,4,1,7,1
Chicken,1,2,42,4,3,40,3
Chicken,2,1,12,3,2,1,5
Chicken,4,7,10,4,42,7,1
Chicken,4,7,10,4,1,7,1
Chicken,33,39,30,82,104,56,17
Chicken,9,2,4,62,4,5,12
Chicken,7,17,2,15,23,3,12
Chicken,2,1,12,3,2,1,5
Chicken,9,2,4,62,4,5,6
Chicken,24,2,2,2,10,3,3
Chicken,2,4,1,2,7,1,5
Chicken,7,17,2,15,23,3,12
Chicken,33,39,30,82,113,47,17
Chicken,4,7,10,4,42,51,1
Chicken,9,2,4,62,4,5,6
Chicken,8,10,2,2,11,12,6
Chicken,2,4,1,2,7,1,5
Chicken,4,7,10,4,1,7,1
Chicken,8,10,2,2,11,12,6
Chicken,6,4,5,2,2,1,5
Chicken,2,1,1,3,2,1,5
Chicken,24,2,2,2,10,3,3
Chicken,8,10,2,2,11,12,6
Chicken,6,4,5,2,2,1,5
Chicken,24,2,2,2,10,3,3
Chicken,24,2,2,2,10,3,3
Chicken,2,75,4,48,141,34,1
Chicken,24,2,2,2,10,3,3
Chicken,2,4,1,2,7,1,5
Chicken,24,2,2,2,10,3,3
Chicken,2,1,1,3,2,1,5
Chicken,24,2,2,2,10,3,3
Chicken,1,4,2,2,6,3,17
Chicken,24,2,2,2,10,3,3
Chicken,2,1,12,3,2,1,5
Chicken,2,1,5,3,2,1,5
Chicken,7,17,2,15,23,3,12
Chicken,2,115,57,26,127,29,35
Chicken,7,17,2,15,23,3,12
Chicken,24,2,2,2,10,3,3
Chicken,24,2,2,2,10,3,3
Chicken,2,1,21,3,2,1,5
Chicken,4,7,10,4,42,51,1
Chicken,2,1,12,3,2,1,5
Chicken,9,2,4,62,4,5,6
Chicken,9,2,4,62,4,5,6
Chicken,7,17,2,15,23,3,12
Chicken,7,28,4,28,17,34,12
Chicken,2,1,12,3,2,1,5
Chicken,9,2,4,62,4,5,6
Chicken,2,4,1,2,7,1,5
Chicken,2,1,1,3,2,1,3
Chicken,7,17,2,15,23,3,12
Chicken,2,4,1,2,7,1,5
Chicken,9,2,4,62,4,5,6
Chicken,2,4,1,2,7,1,5
Chicken,24,2,2,2,10,3,1
Chicken,7,17,2,3,23,3,12
Chicken,32,38,30,82,113,43,17
Chicken,7,17,2,15,23,3,12
Chicken,2,1,12,3,2,1,5
Chicken,7,17,2,15,23,3,12
Chicken,6,4,5,2,2,1,5
Chicken,2,4,1,93,11,3,6
Chicken,2,1,12,3,2,1,5
Chicken,2,1,12,3,2,1,5
Chicken,7,4,2,2,11,3,5
Chicken,4,7,10,4,42,51,1
Chicken,2,1,5,3,2,1,5
Chicken,4,7,10,4,1,7,1
Chicken,7,17,2,15,23,3,12
Chicken,4,7,10,4,1,7,1
Chicken,104,7,10,4,1,7,1
Chicken,4,7,40,4,42,51,1
Chicken,37,365,21,64,505,24,23
Chicken,2,1,12,3,2,1,5
Chicken,2,1,12,88,2,1,5
Chicken,24,2,2,2,10,3,3
Chicken,2,1,21,334,2,1,5
Chicken,7,17,2,15,23,3,12
Chicken,2,4,1,2,7,1,5
Chicken,4,7,10,4,42,51,1
Chicken,9,2,4,62,4,5,12
Chicken,2,1,5,3,2,1,5
Chicken,4,7,10,4,42,51,1
Chicken,2,4,1,2,7,1,5
Chicken,33,39,30,79,104,47,17
Chicken,76,22,72,98,116,518,16
Chicken,2,4,1,2,7,1,5
Chicken,2,4,1,2,7,1,5
Chicken,2,1,12,3,2,1,5
Chicken,4,7,10,4,1,7,1
Chicken,4,7,10,4,1,7,1
Pig,33,39,30,82,113,214,17
Pig,33,39,30,82,104,43,17
Pig,33,38,30,82,104,43,17
Pig,33,39,66,82,104,44,17
Pig,33,38,30,82,104,43,17
Pig,33,38,30,82,104,43,17
Pig,33,153,30,82,104,35,17
Pig,32,261,30,78,104,43,17
Pig,33,38,30,82,104,47,36
Pig,33,38,30,82,104,43,17
Pig,33,153,30,82,113,43,17
Pig,33,38,30,173,104,35,68
Pig,33,38,30,82,104,43,17
Pig,33,38,30,82,104,35,17
Pig,33,39,30,82,104,47,17
Pig,33,39,30,82,104,43,17
Pig,33,39,30,82,104,35,17
Pig,33,38,30,82,104,43,17
Pig,33,38,30,82,104,43,17
Pig,33,38,30,82,118,43,17
Pig,33,38,30,82,104,85,68
Pig,33,38,30,82,104,35,36
Pig,33,39,30,82,113,214,17
Pig,33,39,44,82,104,43,36
Pig,33,39,30,174,104,35,17
Pig,33,38,30,82,104,43,17
Pig,33,38,30,173,104,35,68
Pig,33,38,30,82,104,85,17
Pig,33,38,30,82,118,43,17
Pig,33,38,30,82,104,35,17
Pig,33,38,30,82,104,43,17
Pig,33,39,44,82,104,43,36
Pig,32,39,44,82,113,47,36
Pig,33,38,30,82,104,35,36
Pig,33,38,30,82,113,35,17
Pig,33,38,30,82,104,43,17
Pig,33,38,30,82,104,43,17
Pig,32,261,30,78,104,43,17
Pig,33,38,30,174,104,43,17
Pig,424,38,30,82,113,47,68
Pig,33,153,30,82,113,35,17
Pig,361,39,30,82,113,47,17
Pig,33,38,134,161,104,43,17
Pig,33,153,30,82,104,43,17
Pig,32,39,30,240,104,43,17
Pig,33,39,30,82,104,35,17
Pig,33,39,123,81,118,35,36
Pig,33,39,30,82,763,47,17
Pig,33,38,30,82,104,35,17
Pig,33,38,134,240,113,47,36
Pig,33,39,30,82,104,35,17
Pig,33,153,30,82,104,43,17
Pig,33,153,30,82,118,43,17
Pig,33,38,30,82,104,43,17
Pig,33,39,30,82,104,35,17
Pig,32,261,30,78,104,43,17
Pig,33,39,134,82,104,35,17
Pig,33,38,30,82,104,85,68
Pig,33,38,30,82,189,43,36
Pig,33,38,30,82,104,35,36
Pig,33,38,30,82,337,43,17
Pig,53,39,44,82,104,35,36
Pig,33,38,30,82,104,43,17
Pig,33,153,30,82,113,47,17
Pig,33,38,30,82,104,43,17
Pig,33,39,30,82,104,44,17
Pig,53,39,44,82,118,35,36
Pig,33,38,30,82,118,43,17
Pig,33,38,30,82,104,43,17
Pig,33,38,30,82,104,43,17
Pig,33,39,30,174,104,47,17
Pig,33,38,30,82,104,43,17
Pig,33,38,30,82,118,43,17
Pig,33,39,44,82,118,35,36
Pig,361,153,30,82,113,47,68
Pig,33,39,134,82,104,43,17
Pig,33,38,30,82,104,35,36
Pig,33,38,30,82,189,43,36
Pig,53,39,123,82,104,35,36
Pig,53,39,123,82,104,35,36
Pig,33,38,30,82,104,43,36
Pig,33,39,30,82,104,43,17
Pig,33,38,30,82,104,85,17
Pig,33,38,30,82,104,85,68
Pig,33,38,30,82,104,43,17
Pig,53,39,44,82,104,35,36
Pig,33,38,30,82,104,85,68
Pig,33,38,30,82,104,43,17
Pig,33,39,30,82,113,47,68
Pig,33,38,30,82,104,43,36
Pig,33,38,30,82,118,43,17
Pig,33,39,30,174,104,44,17
Pig,33,38,30,82,104,85,68
Pig,33,39,30,174,104,44,17
Pig,33,38,30,82,118,43,17
Pig,33,38,30,82,104,43,17
Pig,33,39,30,82,104,35,36
Pig,33,39,44,82,104,43,36
Pig,33,38,30,82,104,43,17
Pig,33,153,30,82,104,35,36
Pig,53,39,44,82,104,35,36
Pig,33,39,30,82,104,35,36
Pig,423,39,44,82,104,35,36
Pig,53,39,44,82,104,35,36
Pig,33,39,66,82,104,44,17
Pig,33,39,30,565,104,47,17
Pig,33,39,30,82,113,35,17
Pig,33,39,30,240,104,44,17
Pig,53,39,44,82,104,35,36
Pig,32,261,30,78,104,43,17
Pig,53,39,44,82,104,35,36
Pig,32,39,44,82,104,85,36
Pig,33,38,30,82,104,85,68
Pig,32,39,44,79,104,117,17
Pig,33,153,30,82,104,394,36
Pig,33,38,30,82,104,43,17
Pig,33,38,30,82,104,85,68
Pig,33,39,30,82,104,117,17
Pig,33,38,30,82,104,35,17
Pig,53,38,30,81,118,35,36
